id,name,tile,cloud_cover,s3path,quantity
b1c34385-d98f-492f-ab6d-3f536f1425a7,S2B_MSIL1C_20200106T105339_N0500_R051_T31UET_20230421T103014.SAFE,T31UET,31.377646391352403,/eodata/Sentinel-2/MSI/L1C_N0500/2020/01/06/S2B_MSIL1C_20200106T105339_N0500_R051_T31UET_20230421T103014.SAFE,chlorophyll_a
a3632eff-33ca-4af2-8db1-4c8e2b95ae17,S2B_MSIL1C_20200205T105129_N0500_R051_T31UES_20230627T054547.SAFE,T31UES,46.7560094359342,/eodata/Sentinel-2/MSI/L1C_N0500/2020/02/05/S2B_MSIL1C_20200205T105129_N0500_R051_T31UES_20230627T054547.SAFE,chlorophyll_a
6f989e94-7b83-4a03-b45d-9a605577c2fc,S2B_MSIL1C_20200205T105129_N0500_R051_T31UET_20230627T054547.SAFE,T31UET,21.5714068810055,/eodata/Sentinel-2/MSI/L1C_N0500/2020/02/05/S2B_MSIL1C_20200205T105129_N0500_R051_T31UET_20230627T054547.SAFE,chlorophyll_a
1b08ed34-adae-4178-870f-42237fa2d86c,S2B_MSIL1C_20200518T105619_N0500_R094_T31UET_20230619T084602.SAFE,T31UET,14.223377547104,/eodata/Sentinel-2/MSI/L1C_N0500/2020/05/18/S2B_MSIL1C_20200518T105619_N0500_R094_T31UET_20230619T084602.SAFE,chlorophyll_a
330aa969-e771-4f04-9110-b1b856c89e7d,S2B_MSIL1C_20200624T104629_N0500_R051_T31UES_20230506T233231.SAFE,T31UES,13.9209591209054,/eodata/Sentinel-2/MSI/L1C_N0500/2020/06/24/S2B_MSIL1C_20200624T104629_N0500_R051_T31UES_20230506T233231.SAFE,chlorophyll_a
f3926268-d52b-4236-9d4c-b298be794993,S2B_MSIL1C_20210510T104619_N0500_R051_T31UES_20230227T093252.SAFE,T31UES,52.9703186120816,/eodata/Sentinel-2/MSI/L1C_N0500/2021/05/10/S2B_MSIL1C_20210510T104619_N0500_R051_T31UES_20230227T093252.SAFE,chlorophyll_a
f31579dc-519a-4186-80c1-e057da78cf6c,S2B_MSIL1C_20210510T104619_N0500_R051_T31UET_20230227T093252.SAFE,T31UET,29.785631102750205,/eodata/Sentinel-2/MSI/L1C_N0500/2021/05/10/S2B_MSIL1C_20210510T104619_N0500_R051_T31UET_20230227T093252.SAFE,chlorophyll_a
1fb1e212-237f-45c1-a198-384b53ed47f6,S2B_MSIL1C_20210719T104619_N0500_R051_T31UES_20230213T203659.SAFE,T31UES,8.16235181701454,/eodata/Sentinel-2/MSI/L1C_N0500/2021/07/19/S2B_MSIL1C_20210719T104619_N0500_R051_T31UES_20230213T203659.SAFE,chlorophyll_a
450c782d-5e7e-4207-8b3e-5a39a703de3d,S2B_MSIL1C_20210719T104619_N0500_R051_T31UET_20230213T203659.SAFE,T31UET,25.3985487772104,/eodata/Sentinel-2/MSI/L1C_N0500/2021/07/19/S2B_MSIL1C_20210719T104619_N0500_R051_T31UET_20230213T203659.SAFE,chlorophyll_a
6558db1d-6cf3-49c5-a458-2b0271115086,S2B_MSIL1C_20210907T104619_N0500_R051_T31UET_20230116T193821.SAFE,T31UET,7.372570097644,/eodata/Sentinel-2/MSI/L1C_N0500/2021/09/07/S2B_MSIL1C_20210907T104619_N0500_R051_T31UET_20230116T193821.SAFE,chlorophyll_a
